# Reviewed exact Complete-only definitions; each entry cites platform/pressing evidence.
file	function	signature	reason
include/rmg.h	TRmgRiverDeltaOffset::TRmgRiverDeltaOffset	void (int, int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	TRmgRiverDeltaOffset::~TRmgRiverDeltaOffset	void () __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	TRmgZoneBounds::Contains	bool (const TPoint &) __attribute__((thiscall)) const	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	type_artifact_def::type_artifact_def	void (int, int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	type_black_box_experience_def::type_black_box_experience_def	void (int, int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	type_black_box_gold_def::type_black_box_gold_def	void (int, int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	type_black_box_spells_def::type_black_box_spells_def	void (int, int, int, int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	type_dwelling_def::type_dwelling_def	void (int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	type_key_tent_def::type_key_tent_def	void (int, int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	type_map_dwelling_def::type_map_dwelling_def	void (int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	type_object::type_object	void (TRmgObjectPropertiesRef *) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	type_prison_def::type_prison_def	void (int, int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	type_quest_creature_def::type_quest_creature_def	void (int, int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	type_quest_experience_def::type_quest_experience_def	void (int, int, int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	type_quest_gold_def::type_quest_gold_def	void (int, int, int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	type_random_map::GetMapItem	TRmgMapItem *(int, int, int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	type_random_map::type_random_map	void (type_random_map &, int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	type_random_map_generator::GetSerializedMapVersion	int () __attribute__((thiscall)) const	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	type_resource_lump_def::type_resource_lump_def	void (int, int, int, int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg.h	type_scholar_def::type_scholar_def	void () __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg_terrain.h	TRmgPackedTerrainCell::GetFlipX	unsigned char () __attribute__((thiscall)) const	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg_terrain.h	TRmgPackedTerrainCell::GetFlipY	unsigned char () __attribute__((thiscall)) const	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg_terrain.h	TRmgPackedTerrainCell::GetFrame	int () __attribute__((thiscall)) const	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg_terrain.h	TRmgPackedTerrainCell::GetTerrain	int () __attribute__((thiscall)) const	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg_terrain.h	TRmgPackedTerrainCell::GetTile	TRmgTerrainTile () __attribute__((thiscall)) const	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg_terrain.h	TRmgPackedTerrainCell::SetFlipX	void (unsigned char) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg_terrain.h	TRmgPackedTerrainCell::SetFlipY	void (unsigned char) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg_terrain.h	TRmgPackedTerrainCell::SetFrame	void (int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg_terrain.h	TRmgPackedTerrainCell::SetInitialized	void () __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg_terrain.h	TRmgPackedTerrainCell::SetTerrain	void (int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg_terrain.h	TRmgPackedTerrainCell::TRmgPackedTerrainCell	void () __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg_terrain.h	TRmgTerrainFlip::TRmgTerrainFlip	void () __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg_terrain.h	TRmgTerrainFlip::TRmgTerrainFlip	void (unsigned char, unsigned char) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg_terrain.h	TRmgTerrainPainter::GetTerrain	int (const TPoint &) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/rmg_terrain.h	TRmgTerrainRule::~TRmgTerrainRule	void () __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg.cpp	ClipRmgBoundaryPoint	TPoint (const TRmgZoneBounds &, TPoint, TPoint) __attribute__((fastcall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg.cpp	EmitRmgPointSetIncrement	void (TRmgPointSet::const_iterator *) __attribute__((fastcall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg.cpp	InsertRmgWorkItem	void (std::vector<TRmgMapPosition> &, std::vector<int> &, TRmgMapPosition, int) __attribute__((fastcall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg.cpp	IsRmgTemplateFieldSet	bool (const char *) __attribute__((fastcall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg.cpp	ReadRmgTemplateZones	void (const TSpreadsheetResource *, TRmgTemplate *, int, int, int, int, int) __attribute__((fastcall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg.cpp	TRmgTemplate::FindZone	TRmgTownSlot *(int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg.cpp	assign_rmg_teams	void (int, int, int, const unsigned char *, char *) __attribute__((fastcall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg.cpp	set_available_rmg_heroes	void (std::bitset<N> *, unsigned char *, unsigned char *) __attribute__((fastcall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg.cpp	type_black_box_creature_def::type_black_box_creature_def	void (int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg.cpp	type_random_map::GetMapItem	TRmgMapItem *(TRmgMapPosition) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg.cpp	type_random_map_generator::BuildRoadCostMap	void (TRmgMapPosition) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg.cpp	type_random_map_generator::ConnectZones	void () __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg.cpp	type_random_map_generator::CreateRiver	void (TRmgMapPosition) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg.cpp	type_random_map_generator::CreateSubterraneanGate	unsigned char (TRmgZone *, TRmgZoneConnection *) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg.cpp	type_random_map_generator::DrawIrregularZoneBoundary	void (TPoint, TPoint, int, int, int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg.cpp	type_random_map_generator::DrawStraightZoneBoundary	void (TPoint, TPoint, int, int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg.cpp	type_random_map_generator::InitializeObjectGenerators	void () __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg.cpp	type_random_map_generator::TraceZoneBoundary	void (TRmgBoundaryVertex *, unsigned char) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg.cpp	type_random_map_generator::WriteMapHeader	void (TAbstractFile *) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg.cpp	type_shrine_def::type_shrine_def	void (int, int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg.cpp	type_spell_scroll_def::type_spell_scroll_def	void (int, int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg.cpp	type_treasure_def::type_treasure_def	void (int, int, int, int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg.cpp	type_witch_hut_def::type_witch_hut_def	void () __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg_terrain.cpp	MakeTerrainFlip	TRmgTerrainFlip (unsigned char, unsigned char) __attribute__((fastcall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg_terrain.cpp	SelectTerrainTransition	int (const int *, TRmgTerrainFlip *) __attribute__((fastcall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg_terrain.cpp	TRmgTerrainPainter::GetPackedCell	TRmgPackedTerrainCell *(const TPoint &) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg_terrain.cpp	TRmgTerrainPainter::InitializePackedCell	void (const TPoint &, unsigned int) __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
src/rmg_terrain.cpp	TRmgTerrainPainter::PaintTransitions	void () __attribute__((thiscall))	Complete-only RMG; no Dreamcast procedure counterpart. Retail ownership and caller/layout evidence are documented in src/rmg.cpp and src/rmg_terrain.cpp.
include/customcampaign.h	TCampaignArtifactBonus::GetIconIndex	int () __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063da40; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
include/customcampaign.h	TCampaignBuildingBonus::GetIconIndex	int () __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063da60; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
include/customcampaign.h	TCampaignSpellBonus::GetIconIndex	int () __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063daa0; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
include/quest.h	type_quest::quest_text	const std::string &(int) __attribute__((thiscall))	Complete virtual quest hierarchy, vtable 0x0064174c; include/quest.h and src/seerhut.cpp document the retail factory/slots replacing Dreamcast TSeerHut switch-based quests.
include/quest.h	type_quest::quest_texts	const std::string *() __attribute__((thiscall))	Complete virtual quest hierarchy, vtable 0x0064174c; include/quest.h and src/seerhut.cpp document the retail factory/slots replacing Dreamcast TSeerHut switch-based quests.
src/customcampaign.cpp	TCampaignArtifactBonus::Apply	void (int) __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063da40; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignArtifactBonus::GetIconDefName	const char *() __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063da40; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignArtifactBonus::GetText	std::string () __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063da40; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignArtifactBonus::Read	void (TAbstractFile *) __attribute__((thiscall))	Complete virtual campaign bonus hierarchy, vtable 0x0063da40; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignBonus::IsBuildingBonus	bool () __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063d938; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignBonus::SetTown	void (int) __attribute__((thiscall))	Complete virtual campaign bonus hierarchy, vtable 0x0063d938; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignBonus::~TCampaignBonus	void () __attribute__((thiscall))	Complete virtual campaign bonus hierarchy, vtable 0x0063d938; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignBuildingBonus::Apply	void (int) __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063da60; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignBuildingBonus::GetIconDefName	const char *() __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063da60; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignBuildingBonus::GetText	std::string () __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063da60; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignBuildingBonus::IsBuildingBonus	bool () __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063da60; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignBuildingBonus::Read	void (TAbstractFile *) __attribute__((thiscall))	Complete virtual campaign bonus hierarchy, vtable 0x0063da60; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignBuildingBonus::SetTown	void (int) __attribute__((thiscall))	Complete virtual campaign bonus hierarchy, vtable 0x0063da60; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignCreatureBonus::Apply	void (int) __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063da80; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignCreatureBonus::GetIconDefName	const char *() __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063da80; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignCreatureBonus::GetIconIndex	int () __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063da80; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignCreatureBonus::GetText	std::string () __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063da80; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignCreatureBonus::Read	void (TAbstractFile *) __attribute__((thiscall))	Complete virtual campaign bonus hierarchy, vtable 0x0063da80; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignPrimarySkillBonus::Apply	void (int) __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063da00; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignPrimarySkillBonus::GetIconDefName	const char *() __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063da00; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignPrimarySkillBonus::GetIconIndex	int () __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063da00; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignPrimarySkillBonus::GetText	std::string () __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063da00; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignPrimarySkillBonus::Read	void (TAbstractFile *) __attribute__((thiscall))	Complete virtual campaign bonus hierarchy, vtable 0x0063da00; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignResourceBonus::Apply	void (int) __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063d9c0; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignResourceBonus::GetIconDefName	const char *() __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063d9c0; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignResourceBonus::GetIconIndex	int () __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063d9c0; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignResourceBonus::GetText	std::string () __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063d9c0; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignResourceBonus::Read	void (TAbstractFile *) __attribute__((thiscall))	Complete virtual campaign bonus hierarchy, vtable 0x0063d9c0; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignSecondarySkillBonus::Apply	void (int) __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063d9e0; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignSecondarySkillBonus::GetIconDefName	const char *() __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063d9e0; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignSecondarySkillBonus::GetIconIndex	int () __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063d9e0; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignSecondarySkillBonus::GetText	std::string () __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063d9e0; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
