# MANUALLY MANAGED - this file was INITIALLY GENERATED by homm3.carve
# (provenance below) and is hand-owned after admission: boundary
# corrections are edited directly into these rows; do not regenerate
# over hand edits.
# generator: homm3.carve.relocs emit-relocs
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# date: 2026-08-04
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE
# per-site evidence for retail-relocs.tsv; dispositions explained there
site_rva	value	channel	detail	target_class	ctx	disposition
0x1050	0x6911e8	code	mov	data	mem	kept
0x10b7	0x691204	code	mov	data	mem	kept
0x1118	0x691200	code	mov	data	mem	kept
0x1186	0x6911ec	code	mov	data	mem	kept
0x11e6	0x6911f4	code	mov	data	mem	kept
0x1246	0x6911f0	code	mov	data	mem	kept
0x12a6	0x6911f8	code	mov	data	mem	kept
0x1306	0x6911e0	code	mov	data	mem	kept
0x1366	0x6911fc	code	mov	data	mem	kept
0x13c6	0x6911e4	code	mov	data	mem	kept
0x1406	0x62724b	code	push	code	imm	kept
0x14a8	0x4014ad	code	mov	code	imm	kept
0x1516	0x62738e	code	push	code	imm	kept
0x1559	0x63a5e4	code	mov	data	imm	kept
0x1705	0x65f3c0	code	push	literal-start	imm	kept
0x1774	0x65f268	code	push	literal-start	imm	kept
0x17e3	0x65f3b4	code	push	literal-start	imm	kept
0x1852	0x65f250	code	push	literal-start	imm	kept
0x18c1	0x65f3a8	code	push	literal-start	imm	kept
0x1930	0x65f39c	code	push	literal-start	imm	kept
0x199f	0x65f390	code	push	literal-start	imm	kept
0x1a0e	0x65f384	code	push	literal-start	imm	kept
0x1a7d	0x65f378	code	push	literal-start	imm	kept
0x1aec	0x65f36c	code	push	literal-start	imm	kept
0x1b5b	0x65f360	code	push	literal-start	imm	kept
0x1baf	0x65f354	code	push	literal-start	imm	kept
0x1d15	0x65f348	code	push	literal-start	imm	kept
0x1d85	0x65f33c	code	push	literal-start	imm	kept
0x1de4	0x65f330	code	push	literal-start	imm	kept
0x1e3b	0x65f324	code	push	literal-start	imm	kept
0x1ea3	0x65f318	code	push	literal-start	imm	kept
0x1f03	0x65f308	code	push	literal-start	imm	kept
0x1f08	0x65f2f8	code	push	literal-interior	imm	kept
0x1f65	0x65f2ec	code	push	literal-start	imm	kept
0x1fc6	0x65f308	code	push	literal-start	imm	kept
0x1fcf	0x65f2f8	code	push	literal-interior	imm	kept
0x1fd4	0x691210	code	push	data	imm	kept
0x1ff5	0x63a578	code	mov	data	imm	kept
0x22e6	0x6273a8	code	push	code	imm	kept
0x232d	0x6994e8	code	mov	data	mem	kept
0x2346	0x65f3cc	code	mov	literal-start	imm	kept
0x2365	0x65f3cc	code	mov	literal-start	imm	kept
0x2386	0x69954c	code	mov	data	mem	kept
0x2390	0x69ccbc	code	mov	data	mem	kept
0x2397	0x6994e8	code	mov	data	mem	kept
0x23a2	0x691209	code	mov	data	mem	kept
0x23ac	0x69120c	code	mov	data	mem	kept
0x23b7	0x6987a0	code	mov	data	mem	kept
0x23bd	0x69879c	code	mov	data	mem	kept
0x23c3	0x698794	code	mov	data	mem	kept
0x23c9	0x6987a4	code	mov	data	mem	kept
0x23cf	0x698798	code	mov	data	mem	kept
0x23d5	0x6987ec	code	mov	data	mem	kept
0x23de	0x698758	code	mov	data	mem	kept
0x23e3	0x69875c	code	mov	data	mem	kept
0x23f2	0x63a608	code	mov	data	imm	kept
0x245a	0x69ccb0	code	mov	data	mem	kept
0x2479	0x6994e8	code	mov	data	mem	kept
0x2490	0x63a608	code	mov	data	imm	kept
0x24a7	0x63a480	code	push	literal-start	imm	kept
0x24ec	0x63a48c	code	push	literal-start	imm	kept
0x2531	0x63a498	code	push	literal-start	imm	kept
0x25d0	0x63a4a8	code	push	literal-start	imm	kept
0x2606	0x63a4b0	code	push	literal-start	imm	kept
0x2621	0x400000	code	or	unmapped	imm	dropped-unmapped
0x2631	0x63a4c8	code	push	literal-interior	imm	kept
0x2670	0x63a4dc	code	push	literal-start	imm	kept
0x269b	0x63a4e8	code	push	literal-interior	imm	kept
0x26ad	0x69ccb0	code	mov	data	mem	kept
0x26b7	0x699268	code	mov	data	mem	kept
0x26cc	0x63a4f4	code	push	literal-start	imm	kept
0x26df	0x6994e8	code	mov	data	mem	kept
0x26f3	0x69cca8	code	mov	data	mem	kept
0x270b	0x6994e8	code	mov	data	mem	kept
0x272a	0x63a508	code	push	literal-start	imm	kept
0x273d	0x6994e8	code	mov	data	mem	kept
0x2762	0x6994e8	code	mov	data	mem	kept
0x277f	0x699268	code	mov	data	mem	kept
0x278e	0x699268	code	mov	data	mem	kept
0x27a7	0x63a51c	code	push	literal-interior	imm	kept
0x27c1	0x69ccb0	code	mov	data	mem	kept
0x27f0	0x699268	code	mov	data	mem	kept
0x280c	0x63a52c	code	push	literal-interior	imm	kept
0x2829	0x6a5d5c	code	mov	data	mem	kept
0x2893	0x63a538	code	push	literal-interior	imm	kept
0x28b5	0x63a544	code	push	literal-start	imm	kept
0x2907	0x699268	code	mov	data	mem	kept
0x2922	0x63a558	code	push	literal-start	imm	kept
0x2934	0x6aaa5c	code	mov	data	mem	kept
0x293e	0x6aaa5c	code	mov	data	mem	kept
0x294e	0x63a560	code	push	literal-interior	imm	kept
0x2965	0x69e5b0	code	mov	data	mem	kept
0x2971	0x69e5b0	code	mov	data	mem	kept
0x297e	0x699268	code	mov	data	mem	kept
0x2999	0x699268	code	mov	data	mem	kept
0x29fb	0x6994e8	code	mov	data	mem	kept
0x2a07	0x69774c	code	mov	data	mem	kept
0x2a11	0x6994e8	code	mov	data	mem	kept
0x2a90	0x65f224	code	mov	data	mem	kept
0x2b16	0x6273c8	code	push	code	imm	kept
0x2b31	0x63a5e4	code	mov	data	imm	kept
0x2bff	0x699280	code	mov	data	mem	kept
0x2c7e	0x402e28	code	mov	code	mem	kept
0x2c85	0x402de0	code	jmp	code	mem	kept
0x2d9d	0x402e4c	code	jmp	code	mem	kept
0x2de0	0x402c89	switch	table@0x2de0	code	-	kept
0x2de4	0x402c8f	switch	table@0x2de0	code	-	kept
0x2de8	0x402c98	switch	table@0x2de0	code	-	kept
0x2dec	0x402ca1	switch	table@0x2de0	code	-	kept
0x2df0	0x402caa	switch	table@0x2de0	code	-	kept
0x2df4	0x402cb3	switch	table@0x2de0	code	-	kept
0x2df8	0x402cbc	switch	table@0x2de0	code	-	kept
0x2dfc	0x402cc5	switch	table@0x2de0	code	-	kept
0x2e00	0x402cce	switch	table@0x2de0	code	-	kept
0x2e04	0x402cd7	switch	table@0x2de0	code	-	kept
0x2e08	0x402ce0	switch	table@0x2de0	code	-	kept
0x2e0c	0x402ce9	switch	table@0x2de0	code	-	kept
0x2e10	0x402cf2	switch	table@0x2de0	code	-	kept
0x2e14	0x402cfb	switch	table@0x2de0	code	-	kept
0x2e18	0x402d1f	switch	table@0x2de0	code	-	kept
0x2e1c	0x402d04	switch	table@0x2de0	code	-	kept
0x2e20	0x402d0d	switch	table@0x2de0	code	-	kept
0x2e24	0x402d16	switch	table@0x2de0	code	-	kept
0x2e4c	0x402daa	switch	table@0x2e4c	code	-	kept
0x2e50	0x402db3	switch	table@0x2e4c	code	-	kept
0x2e54	0x402dbc	switch	table@0x2e4c	code	-	kept
0x2e58	0x402dc5	switch	table@0x2e4c	code	-	kept
0x2e5c	0x402dce	switch	table@0x2e4c	code	-	kept
0x2e60	0x402dd7	switch	table@0x2e4c	code	-	kept
0x2e64	0x402da1	switch	table@0x2e4c	code	-	kept
0x2e7b	0x6994e8	code	mov	data	mem	kept
0x2e9c	0x402fe8	code	mov	code	mem	kept
0x2ea3	0x402fdc	code	jmp	code	mem	kept
0x2ef8	0x699268	code	mov	data	mem	kept
0x2f55	0x699268	code	mov	data	mem	kept
0x2f83	0x6a56e4	code	mov	data	mem	kept
0x2fdc	0x402ea7	switch	table@0x2fdc	code	-	kept
0x2fe0	0x402f15	switch	table@0x2fdc	code	-	kept
0x2fe4	0x402f69	switch	table@0x2fdc	code	-	kept
0x3018	0x6994e8	code	mov	data	mem	kept
0x3043	0x65f228	code	cmp	data	mem	kept
0x3052	0x691210	code	mov	data	imm	kept
0x3057	0x65f228	code	mov	data	mem	kept
0x305f	0x699260	code	mov	data	mem	kept
0x308f	0x403204	code	mov	code	mem	kept
0x3096	0x4031f8	code	jmp	code	mem	kept
0x30b1	0x63a608	code	mov	data	imm	kept
0x30b9	0x6994e8	code	mov	data	mem	kept
0x30db	0x65f3d4	code	push	literal-start	imm	kept
0x30e0	0x6973d8	code	push	data	imm	kept
0x30ed	0x6973d8	code	mov	data	imm	kept
0x314f	0x6a5d5c	code	mov	data	mem	kept
0x3157	0x6994e8	code	mov	data	mem	kept
0x3197	0x6a56e0	code	mov	data	mem	kept
0x31e4	0x699280	code	mov	data	mem	kept
0x31f8	0x4030f6	switch	table@0x31f8	code	-	kept
0x31fc	0x40309a	switch	table@0x31f8	code	-	kept
0x3200	0x403188	switch	table@0x31f8	code	-	kept
0x3228	0x6994e8	code	mov	data	mem	kept
0x3288	0x6994e8	code	mov	data	mem	kept
0x32e9	0x6994e8	code	mov	data	mem	kept
0x339b	0x699538	code	mov	data	mem	kept
0x33d8	0x65f3dc	code	push	literal-start	imm	kept
0x33f7	0x699280	code	mov	data	mem	kept
0x342a	0x6994e8	code	mov	data	mem	kept
0x34df	0x699538	code	mov	data	mem	kept
0x3532	0x699280	code	mov	data	mem	kept
0x356d	0x6994e8	code	mov	data	mem	kept
0x35c0	0x699538	code	mov	data	mem	kept
0x35db	0x6994e8	code	mov	data	mem	kept
0x35f6	0x67dce8	code	mov	data	mem	kept
0x3667	0x65f3e8	code	push	literal-start	imm	kept
0x36c6	0x699538	code	mov	data	mem	kept
0x3733	0x699538	code	mov	data	mem	kept
0x374b	0x65f3dc	code	push	literal-start	imm	kept
0x3779	0x699280	code	mov	data	mem	kept
0x37ab	0x6994e8	code	mov	data	mem	kept
0x37d0	0x699538	code	mov	data	mem	kept
0x37f3	0x6994e8	code	mov	data	mem	kept
0x385c	0x699538	code	mov	data	mem	kept
0x3892	0x699280	code	mov	data	mem	kept
0x38cb	0x6994e8	code	mov	data	mem	kept
0x38ec	0x699538	code	mov	data	mem	kept
0x394a	0x699538	code	mov	data	mem	kept
0x398e	0x65f3dc	code	push	literal-start	imm	kept
0x39bc	0x6994e8	code	mov	data	mem	kept
0x39cd	0x6994e8	code	mov	data	mem	kept
0x39f0	0x6994e8	code	mov	data	mem	kept
0x3a46	0x68320c	code	mov	data	mem	kept
0x3a50	0x683210	code	mov	data	mem	kept
0x3a85	0x6994e8	code	mov	data	mem	kept
0x3a9a	0x6994e8	code	mov	data	mem	kept
0x3af3	0x68320c	code	mov	data	mem	kept
0x3afd	0x683210	code	mov	data	mem	kept
0x3b32	0x6994e8	code	mov	data	mem	kept
0x3b86	0x699280	code	mov	data	mem	kept
0x3bb4	0x69ccb0	code	mov	data	mem	kept
0x3bfb	0x69ccb0	code	mov	data	mem	kept
0x3c4b	0x65f234	code	cmp	data	mem	kept
0x3c52	0x65f234	code	mov	data	mem	kept
0x3c59	0x65f22c	code	mov	data	mem	kept
0x3c70	0x6994e8	code	mov	data	mem	kept
0x3cc7	0x65f240	code	mov	data	mem	kept
0x3cde	0x65f238	code	mov	data	mem	kept
0x3ce4	0x65f240	code	mov	data	mem	kept
0x3cf9	0x6994e8	code	mov	data	mem	kept
0x3d65	0x63a570	code	mov	data	mem	kept
0x3f51	0x699280	code	mov	data	mem	kept
0x3f69	0x6994e8	code	mov	data	mem	kept
0x3f75	0x699268	code	mov	data	mem	kept
0x3f91	0x699268	code	mov	data	mem	kept
0x3fad	0x699268	code	mov	data	mem	kept
0x3fc8	0x699268	code	mov	data	mem	kept
0x3fe4	0x699268	code	mov	data	mem	kept
0x4000	0x699268	code	mov	data	mem	kept
0x401b	0x699268	code	mov	data	mem	kept
0x4037	0x699268	code	mov	data	mem	kept
0x4053	0x699268	code	mov	data	mem	kept
0x406e	0x699268	code	mov	data	mem	kept
0x4416	0x6273f0	code	push	code	imm	kept
0x4435	0x65f450	code	mov	literal-start	imm	kept
0x4467	0x65f450	code	mov	literal-start	imm	kept
0x4490	0x691210	code	mov	data	imm	kept
0x44ad	0x63a60c	code	mov	data	mem	kept
0x44c3	0x647fc0	code	push	data	imm	kept
0x44cf	0x6455cc	code	mov	data	imm	kept
0x44e6	0x627408	code	push	code	imm	kept
0x4528	0x63a60c	code	mov	data	mem	kept
0x45ab	0x63a608	code	mov	data	imm	kept
0x45c6	0x63a608	code	mov	data	imm	kept
0x45f9	0x63a608	code	mov	data	imm	kept
0x4627	0x6455bc	code	mov	data	imm	kept
0x4653	0x648038	code	push	data	imm	kept
0x4695	0x6455bc	code	mov	data	imm	kept
0x46f3	0x647fc0	code	push	data	imm	kept
0x4706	0x627428	code	push	code	imm	kept
0x4748	0x63a60c	code	mov	data	mem	kept
0x47cb	0x63a608	code	mov	data	imm	kept
0x47e6	0x63a608	code	mov	data	imm	kept
0x4819	0x63a608	code	mov	data	imm	kept
0x4845	0x6455cc	code	mov	data	imm	kept
0x48a1	0x63a60c	code	mov	data	mem	kept
0x4961	0x63a608	code	mov	data	imm	kept
0x49a2	0x63a608	code	mov	data	imm	kept
0x4a3d	0x63a608	code	mov	data	imm	kept
0x4bd6	0x627440	code	push	code	imm	kept
0x4c45	0x404c4a	code	mov	code	imm	kept
0x4dd2	0x6abaa0	code	mov	data	mem	kept
0x4de0	0x6abaa0	code	mov	data	mem	kept
0x4de5	0x404df0	code	push	code	imm	kept
0x4e50	0x69121c	code	mov	data	mem	kept
0x4eb7	0x691238	code	mov	data	mem	kept
0x4f18	0x691234	code	mov	data	mem	kept
0x4f86	0x691220	code	mov	data	mem	kept
0x4fe6	0x691228	code	mov	data	mem	kept
0x5046	0x691224	code	mov	data	mem	kept
0x50a6	0x69122c	code	mov	data	mem	kept
0x5106	0x691214	code	mov	data	mem	kept
0x5166	0x691230	code	mov	data	mem	kept
0x51c6	0x691218	code	mov	data	mem	kept
0x51d6	0x6274b0	code	push	code	imm	kept
0x520d	0x63a610	code	mov	data	imm	kept
0x5289	0x65f4b8	code	push	literal-interior	imm	kept
0x52ad	0x6994e8	code	mov	data	mem	kept
0x52f2	0x65f4ac	code	push	literal-start	imm	kept
0x535a	0x65f4a0	code	push	literal-start	imm	kept
0x53c2	0x65f494	code	push	literal-interior	imm	kept
0x542d	0x65f488	code	push	literal-interior	imm	kept
0x5498	0x65f47c	code	push	literal-interior	imm	kept
0x54b8	0x6994e8	code	mov	data	mem	kept
0x5519	0x65f470	code	push	literal-start	imm	kept
0x55ab	0x65f2f8	code	push	literal-interior	imm	kept
0x55b0	0x691210	code	push	data	imm	kept
0x5618	0x69ccb0	code	mov	data	mem	kept
0x5636	0x69ccb0	code	mov	data	mem	kept
0x56c6	0x6274c8	code	push	code	imm	kept
0x56e2	0x63a610	code	mov	data	imm	kept
0x5782	0x405904	code	jmp	code	mem	kept
0x57b2	0x6a6534	code	mov	data	mem	kept
0x5805	0x699280	code	mov	data	mem	kept
0x5839	0x65f46c	code	mov	data	mem	kept
0x5847	0x65f46c	code	mov	data	mem	kept
0x584c	0x691210	code	mov	data	imm	kept
0x5856	0x699260	code	mov	data	mem	kept
0x587a	0x405918	code	jmp	code	mem	kept
0x5883	0x6a6530	code	mov	data	mem	kept
0x5891	0x6a6530	code	mov	data	mem	kept
0x589f	0x6a6530	code	mov	data	mem	kept
0x58ad	0x6a6530	code	mov	data	mem	kept
0x58bb	0x6a6530	code	mov	data	mem	kept
0x58c9	0x6a6530	code	mov	data	mem	kept
0x58d1	0x699260	code	mov	data	mem	kept
0x5904	0x405786	switch	table@0x5904	code	-	kept
0x5908	0x40578a	switch	table@0x5904	code	-	kept
0x590c	0x405791	switch	table@0x5904	code	-	kept
0x5910	0x405798	switch	table@0x5904	code	-	kept
0x5914	0x40579f	switch	table@0x5904	code	-	kept
0x5918	0x40587e	switch	table@0x5918	code	-	kept
0x591c	0x405889	switch	table@0x5918	code	-	kept
0x5920	0x405897	switch	table@0x5918	code	-	kept
0x5924	0x4058a5	switch	table@0x5918	code	-	kept
0x5928	0x4058b3	switch	table@0x5918	code	-	kept
0x5932	0x6abaa0	code	or	data	imm	kept
0x5940	0x6abaa0	code	mov	data	mem	kept
0x5945	0x404df0	code	push	code	imm	kept
0x59a0	0x691274	code	mov	data	mem	kept
0x5a07	0x691670	code	mov	data	mem	kept
0x5a68	0x69166c	code	mov	data	mem	kept
0x5ad6	0x691278	code	mov	data	mem	kept
0x5b36	0x691364	code	mov	data	mem	kept
0x5b96	0x69135c	code	mov	data	mem	kept
0x5bf6	0x691640	code	mov	data	mem	kept
0x5c56	0x691248	code	mov	data	mem	kept
0x5cb6	0x691668	code	mov	data	mem	kept
0x5d16	0x691270	code	mov	data	mem	kept
0x5d21	0x660278	code	mov	literal-start	imm	kept
0x5d2d	0x691350	code	mov	data	mem	kept
0x5d4a	0x6914f8	code	mov	data	mem	kept
0x5d51	0x66026c	code	mov	literal-start	imm	kept
0x5d5d	0x69163c	code	mov	data	mem	kept
0x5d77	0x691350	code	mov	data	mem	kept
0x5d81	0x660284	code	mov	literal-start	imm	kept
0x5d8d	0x691368	code	mov	data	mem	kept
0x5da7	0x691278	code	mov	data	mem	kept
0x5db7	0x691258	code	mov	data	mem	kept
0x5dc0	0x691250	code	mov	data	mem	kept
0x5dc5	0x691254	code	mov	data	mem	kept
0x5dcb	0x69125c	code	mov	data	mem	kept
0x5de3	0x699268	code	mov	data	mem	kept
0x5df4	0x6994e8	code	mov	data	mem	kept
0x5e14	0x6994e8	code	mov	data	mem	kept
0x5e4e	0x699268	code	mov	data	mem	kept
0x5e7b	0x40642c	code	mov	code	mem	kept
0x5e82	0x4063e0	code	jmp	code	mem	kept
0x5eac	0x6994e8	code	mov	data	mem	kept
0x5ed3	0x699268	code	mov	data	mem	kept
0x5f07	0x699268	code	mov	data	mem	kept
0x5f1b	0x69cca8	code	mov	data	mem	kept
0x5f26	0x6994e8	code	mov	data	mem	kept
0x5f37	0x69ccb0	code	mov	data	mem	kept
0x5f3c	0x69ccc4	code	mov	data	mem	kept
0x5f49	0x699268	code	mov	data	mem	kept
0x5f5f	0x699268	code	mov	data	mem	kept
0x5f6a	0x69ccb0	code	mov	data	mem	kept
0x5f7c	0x6a5d5c	code	mov	data	mem	kept
0x5f82	0x69ccb0	code	mov	data	mem	kept
0x5f98	0x69d7b0	code	push	data	imm	kept
0x5fa2	0x69cca8	code	mov	data	mem	kept
0x5faa	0x69d810	code	mov	data	mem	kept
0x5fc0	0x6994e8	code	mov	data	mem	kept
0x5fcb	0x69d810	code	cmp	data	mem	kept
0x6092	0x6994e8	code	mov	data	mem	kept
0x609d	0x699268	code	mov	data	mem	kept
0x60b9	0x699268	code	mov	data	mem	kept
0x60f9	0x699280	code	mov	data	mem	kept
0x60ff	0x699268	code	mov	data	mem	kept
0x611d	0x698998	code	mov	data	mem	kept
0x6147	0x698998	code	mov	data	mem	kept
0x6161	0x698998	code	mov	data	mem	kept
0x61a6	0x6994e8	code	mov	data	mem	kept
0x61b1	0x699268	code	mov	data	mem	kept
0x61cd	0x699268	code	mov	data	mem	kept
0x620d	0x699280	code	mov	data	mem	kept
0x6213	0x699268	code	mov	data	mem	kept
0x6231	0x698998	code	mov	data	mem	kept
0x625b	0x698998	code	mov	data	mem	kept
0x6275	0x698998	code	mov	data	mem	kept
0x6287	0x6994e8	code	mov	data	mem	kept
0x62c4	0x6994e8	code	mov	data	mem	kept
0x62ed	0x6994e8	code	mov	data	mem	kept
0x6308	0x6994e8	code	mov	data	mem	kept
0x6335	0x699268	code	mov	data	mem	kept
0x6345	0x6a5d5c	code	mov	data	mem	kept
0x634b	0x6994e8	code	mov	data	mem	kept
0x635f	0x6994e8	code	mov	data	mem	kept
0x636c	0x69d7b0	code	push	data	imm	kept
0x63e0	0x405e86	switch	table@0x63e0	code	-	kept
0x63e4	0x405ee2	switch	table@0x63e0	code	-	kept
0x63e8	0x405ef1	switch	table@0x63e0	code	-	kept
0x63ec	0x406283	switch	table@0x63e0	code	-	kept
0x63f0	0x405fb3	switch	table@0x63e0	code	-	kept
0x63f4	0x405f16	switch	table@0x63e0	code	-	kept
0x63f8	0x405feb	switch	table@0x63e0	code	-	kept
0x63fc	0x40600c	switch	table@0x63e0	code	-	kept
0x6400	0x40601b	switch	table@0x63e0	code	-	kept
0x6404	0x40603b	switch	table@0x63e0	code	-	kept
0x6408	0x40605b	switch	table@0x63e0	code	-	kept
0x640c	0x40616f	switch	table@0x63e0	code	-	kept
0x6410	0x4062a0	switch	table@0x63e0	code	-	kept
0x6414	0x406343	switch	table@0x63e0	code	-	kept
0x6418	0x40637a	switch	table@0x63e0	code	-	kept
0x641c	0x406384	switch	table@0x63e0	code	-	kept
0x6420	0x40638e	switch	table@0x63e0	code	-	kept
0x6424	0x4063a2	switch	table@0x63e0	code	-	kept
0x6428	0x4063bf	switch	table@0x63e0	code	-	kept
0x6730	0x63a60c	code	mov	data	mem	kept
0x6759	0x63a60c	code	mov	data	mem	kept
0x6864	0x63a608	code	mov	data	imm	kept
0x68b1	0x63a608	code	mov	data	imm	kept
0x694b	0x63a608	code	mov	data	imm	kept
0x6a26	0x627500	code	push	code	imm	kept
0x6a53	0x6994e8	code	mov	data	mem	kept
0x6a74	0x6a5d5c	code	mov	data	mem	kept
0x6a87	0x6a5e64	code	mov	data	mem	kept
0x6a96	0x6994e8	code	mov	data	mem	kept
0x6ab1	0x63a60c	code	mov	data	mem	kept
0x6ad0	0x6a5d5c	code	mov	data	mem	kept
0x6add	0x6a5e64	code	mov	data	mem	kept
0x6aee	0x6a7df8	code	mov	data	mem	kept
0x6b02	0x63a60c	code	mov	data	mem	kept
0x6b55	0x63a608	code	mov	data	imm	kept
0x6bf6	0x627530	code	push	code	imm	kept
0x6c26	0x6994e8	code	mov	data	mem	kept
0x6c47	0x6a5d5c	code	mov	data	mem	kept
0x6c5e	0x6994e8	code	mov	data	mem	kept
0x6c79	0x63a60c	code	mov	data	mem	kept
0x6c98	0x6a5d5c	code	mov	data	mem	kept
0x6ca5	0x6a7df8	code	mov	data	mem	kept
0x6cbf	0x63a60c	code	mov	data	mem	kept
0x6d15	0x63a608	code	mov	data	imm	kept
0x6d51	0x6994e8	code	mov	data	mem	kept
0x6d7d	0x699268	code	mov	data	mem	kept
0x6df6	0x62755c	code	push	code	imm	kept
0x6e71	0x63a678	code	mov	data	imm	kept
0x6f8b	0x6989c0	code	mov	data	mem	kept
0x6fa1	0x6994e8	code	mov	data	mem	kept
0x6fd6	0x627586	code	push	code	imm	kept
0x7003	0x6989c0	code	mov	data	mem	kept
0x7010	0x6994e8	code	mov	data	mem	kept
0x7020	0x6783c8	code	imul	data	mem	kept
0x7027	0x6783cc	code	imul	data	mem	kept
0x703c	0x6994e8	code	mov	data	mem	kept
0x704f	0x6783c8	code	imul	data	mem	kept
0x7056	0x6783cc	code	imul	data	mem	kept
0x70c5	0x699280	code	mov	data	mem	kept
0x70d4	0x6994e8	code	mov	data	mem	kept
0x7196	0x65f4c4	code	mov	data	mem	kept
0x71c3	0x660328	code	push	data	imm	kept
0x71da	0x65f4c4	code	mov	data	mem	kept
0x7203	0x65f4c4	code	mov	data	mem	kept
0x7248	0x660318	code	mov	literal-interior	imm	kept
0x7258	0x65f55c	code	mov	data	imm	kept
0x7270	0x65f584	code	cmp	data	imm	kept
0x727e	0x65f588	code	mov	data	imm	kept
0x7299	0x65f598	code	cmp	data	imm	kept
0x72a7	0x65f59c	code	mov	data	imm	kept
0x72c2	0x65f5a8	code	cmp	data	imm	kept
0x72d0	0x660310	code	mov	literal-start	imm	kept
0x72da	0x660304	code	mov	literal-start	imm	kept
0x72ea	0x6602f8	code	mov	literal-start	imm	kept
0x72fa	0x6602ec	code	mov	literal-start	imm	kept
0x730a	0x6602e0	code	mov	literal-start	imm	kept
0x731a	0x6602d4	code	mov	literal-start	imm	kept
0x732a	0x6602c8	code	mov	literal-start	imm	kept
0x733a	0x6602bc	code	mov	literal-start	imm	kept
0x735b	0x65f5a8	code	mov	data	mem	kept
0x738b	0x65f610	code	mov	data	imm	kept
0x73a4	0x65f670	code	mov	data	mem	kept
0x73b8	0x65f67c	code	mov	data	mem	kept
0x73f6	0x65f670	code	cmp	data	imm	kept
0x740a	0x65f5f0	code	mov	data	imm	kept
0x7425	0x65f610	code	cmp	data	imm	kept
0x742c	0x6602b0	code	mov	literal-start	imm	kept
0x747c	0x6602a0	code	push	literal-start	imm	kept
0x7481	0x6973d8	code	push	data	imm	kept
0x748e	0x6973d8	code	mov	data	imm	kept
0x74a4	0x69ccb0	code	mov	data	mem	kept
0x74b3	0x6994e8	code	mov	data	mem	kept
0x74dd	0x69ccb0	code	mov	data	mem	kept
0x74e7	0x698998	code	mov	data	mem	kept
0x74f6	0x6989c0	code	mov	data	mem	kept
0x74fb	0x69cca8	code	mov	data	mem	kept
0x7506	0x6994e8	code	mov	data	mem	kept
0x7513	0x69ccb0	code	mov	data	mem	kept
0x751e	0x699280	code	mov	data	mem	kept
0x752d	0x69ccb0	code	mov	data	mem	kept
0x753c	0x699260	code	mov	data	mem	kept
0x7568	0x69ccb0	code	mov	data	mem	kept
0x7577	0x6994e8	code	mov	data	mem	kept
0x7582	0x6989f0	code	cmp	data	mem	kept
0x758b	0x6993dc	code	mov	data	mem	kept
0x7591	0x6989c0	code	mov	data	mem	kept
0x75a5	0x6993c4	code	mov	data	mem	kept
0x75b0	0x6994e8	code	mov	data	mem	kept
0x75cb	0x6994e8	code	mov	data	mem	kept
0x75d9	0x6995b4	code	mov	data	mem	kept
0x75df	0x63a2b4	code	mov	data	mem	kept
0x75ea	0x6995b4	code	mov	data	mem	kept
0x75f1	0x6989e4	code	mov	data	mem	kept
0x75fa	0x698a34	code	cmp	data	mem	kept
0x7602	0x6995b4	code	mov	data	mem	kept
0x7608	0x63a2b4	code	mov	data	mem	kept
0x7612	0x6989e4	code	mov	data	mem	kept
0x7617	0x6995b4	code	mov	data	mem	kept
0x7621	0x6989e8	code	mov	data	mem	kept
0x7627	0x6989e4	code	mov	data	mem	kept
0x7632	0x6989f0	code	cmp	data	mem	kept
0x763f	0x69ccb0	code	mov	data	mem	kept
0x7645	0x6993dc	code	mov	data	mem	kept
0x7650	0x6a5d5c	code	mov	data	mem	kept
0x765a	0x6989c0	code	mov	data	mem	kept
0x7663	0x69ccb0	code	mov	data	mem	kept
0x767e	0x699280	code	mov	data	mem	kept
0x7691	0x69cca8	code	mov	data	mem	kept
0x7698	0x6994e8	code	mov	data	mem	kept
0x76c3	0x6989f0	code	mov	data	mem	kept
0x76ce	0x699280	code	mov	data	mem	kept
0x76f1	0x660294	code	mov	literal-start	imm	kept
0x7722	0x699260	code	mov	data	mem	kept
0x772c	0x69d808	code	mov	data	mem	kept
0x7757	0x63a684	code	mov	data	imm	kept
0x7764	0x69d808	code	mov	data	mem	kept
0x7777	0x69ccb0	code	mov	data	mem	kept
0x77fb	0x6aa5f0	code	mov	data	mem	kept
0x7805	0x6993c4	code	mov	data	mem	kept
0x7817	0x6993c4	code	mov	data	mem	kept
0x7821	0x699548	code	mov	data	mem	kept
0x7a6b	0x699280	code	mov	data	mem	kept
0x7b97	0x69ccb0	code	mov	data	mem	kept
0x7ba3	0x6994e8	code	mov	data	mem	kept
0x7bd3	0x408750	code	jmp	code	mem	kept
0x7cfe	0x6993c4	code	mov	data	mem	kept
0x7d09	0x6968e0	code	mov	data	mem	kept
0x7da3	0x699284	code	mov	data	mem	kept
0x7dc1	0x699284	code	mov	data	mem	kept
0x7df2	0x698774	code	mov	data	mem	kept
0x7e0d	0x69ccb0	code	mov	data	mem	kept
