# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
name,type,value
END,0x47E1,8
eArtifactShacklesOfWar,0x1B5A,125
UNIVERSITY,0x2D17,104
eRiverMuddy,0x3571,3
eRoadDirt,0x356F,1
RType_misc,0x1774,0
kNumSecSkillsPerHero,0x1AD8,8
eArtifactEndlessBagOfGold,0x1B5A,116
MP_SERIAL,0x2BFC,4
RANDOM_ARTIFACT_3,0x2D17,68
RType_bitmap,0x1774,16
RS_COMBAT_END_PLACEMENT,0x2CCD,1008
SHIPWRECK_SURVIVOR,0x2D17,86
const_town_hall,0x1C8D,11
HORDE_2_ID,0x1C8D,24
eHeroCragHack,0x1D96,102
eSpellDeathStare,0x1B61,79
ARENA,0x2D17,4
DRAGON_SLAYER_BONUS,0x3569,8
const_fast,0x5A26,2
RS_REQUEST_HERO_FACE,0x2CCD,1035
TERRAIN_FLOWER,0x2D17,120
THIEVES_DEN,0x2D17,97
eSpellSacrifice,0x1B61,40
const_blood_obelisk,0x1C8D,21
RType_advobj,0x1774,67
green_dragon_generator_sound,0x2D1D,11
eSpellEffectSpontaneousCombustion,0x1F15,53
ARTIFACT,0x2D17,5
hs_turn_s_se,0x3675,17
hs_turn_se_e,0x3675,15
const_house_1,0x1C8D,23
hs_turn_se_s,0x3675,16
cs_max,0x4962,22
SIGN,0x2D17,91
cs_walk,0x4962,0
cs_wait,0x4962,2
SEER,0x2D17,83
const_vampire_generator,0x1C8D,33
eCreatureCatapult,0x1BAC,118
const_city_hall,0x1C8D,12
const_caliph_generator,0x1C8D,41
const_green_dragon_generator,0x1C8D,36
ADV_SCROLL_SOUTHWEST,0x2D19,37
eArtifactGarnitureOfInterference,0x1B5A,57
const_cerberus_horde,0x1C8D,25
eCreatureNosferatu,0x1BAC,63
TYPE,0x479D,0
TOWN,0x2D17,98
DICT1,0x47C6,5
eCreaturePitFiend,0x1BAC,50
TERRAIN_CACTUS,0x2D17,116
TERRAIN_CRATER,0x2D17,118
eSpellPrecision,0x1B61,44
SELECT_SACRIFICE,0x40FD,18
const_very_fast,0x5A26,1
eArtifactEverflowingCrystalCloak,0x1B5A,109
RES_PRIMARY_SKILL_ATTACK,0x1B7A,30
OBSERVATORY,0x2D17,58
HORDE_UPG_ID,0x1C8D,19
TAVERN_ID,0x1C8D,5
eSpellMeteorShower,0x1B61,23
eArtifactSlotFeet,0x1EA0,8
eArtifactSlotHead,0x1EA0,0
RType_sprite,0x1774,64
WASH,0x47E1,7
eClassDruid,0x24E4,3
WOOD,0x1B7A,0
ADV_ANCHOR_POINTER,0x2D19,7
MAGIC_WELL,0x2D17,49
OasisInfo,0x2D31,26
CASTLE_CASTLE_ID,0x1C8D,9
TERRAIN_PLANT,0x2D17,138
const_black_lord_generator,0x1C8D,42
eSpellEffectDispelQuicksand,0x1F15,58
ogre_generator_sound,0x2D1D,61
hs_max,0x3675,18
ePriSkillDefense,0x2FBC,1
eCreatureLesserTitan,0x1BAC,40
eMasteryNone,0x1A78,0
const_artifact_costs_2500,0x2DAB,4
const_artifact_costs_3000,0x2DAB,5
const_artifact_costs_2000,0x2DAB,1
eArtifactRingOfTheWayfarer,0x1B5A,69
const_ranged,0x5A26,0
SEPULCHER,0x2D17,84
eSecSkillMagicResistance,0x1AD8,26
const_silver_pegasus_generator,0x1C8D,40
eArtifactCrownOfTheSupremeMagi,0x1B5A,22
RS_DEAD_HERO,0x2CCD,1059
eHeroSandro,0x1D96,74
eHeroAjit,0x1D96,83
eSpellEffectMagicChannel_Spew,0x1F15,76
eHeroHester,0x1D96,10
eHeroGird,0x1D96,104
eHeroWystan,0x1D96,110
eSpellEffectWeakness,0x1F15,56
eTownCastle,0x1AB5,0
eSpellThunderBolt,0x1B61,77
water_wheel_sound,0x2D1D,28
eCreatureChaosHydra,0x1BAC,111
const_gnoll_marauder_horde,0x1C8D,19
LIBRARY,0x2D17,41
eClassBattleMage,0x24E4,13
const_orc_generator,0x1C8D,32
eRewardMorale,0x7182,3
ADV_SCROLL_NORTHEAST,0x2D19,33
eCreatureAmmoCart,0x1BAC,121
const_heavy_crossbowman_generator,0x1C8D,38
eSpellDisruptiveRay,0x1B61,47
MERMAID,0x2D17,52
RS_RESET_VISIBILITY,0x2CCD,1022
eArtifactPendantOfHoliness,0x1B5A,102
CR_OCTREEDIFF,0x555B,1
eArtifactSlotWarMachine1,0x1EA0,13
eArtifactSlotWarMachine2,0x1EA0,14
eArtifactSlotWarMachine3,0x1EA0,15
eArtifactSlotWarMachine4,0x1EA0,16
WALL_OF_GLYPHIC_KNOWLEDGE_ID,0x1C8D,23
siege_weapon_factory_sound,0x2D1D,12
magic_spring_sound,0x2D1D,16
eSpellFrostRing,0x1B61,20
eSpellEffectForcefield_2,0x1F15,32
eSpellEffectForcefield_3,0x1F15,33
SELECT_SPECIAL_ATTACK_BROKEN,0x40FD,15
const_mana_vortex,0x1C8D,21
MAX_EVENT_TYPE,0x2D17,165
TERRAIN_HEDGE,0x2D17,122
RType_creature,0x1774,66
HillFortInfo,0x2D31,14
const_cavalier_generator,0x1C8D,35
eSpellEffectFortune,0x1F15,18
