# Reviewed binary operations; names are descriptive, not recovered source/linkage names.
# These observations do not map a source declaration, excuse a difference, or close any caller.
# Source names remain owned by ordinary declarations and MAC_ADDRESS annotations.
# Pinned Heroes PEF SHA-256: 650be8880cfda81ffa7704ce3bcdb9c5a6528f67afdf77c0c0c63e8259250d86
offset	size	sha256	category	operation	evidence
0x20f12c	0x5c	4b63c636ee17369cb98d1534c756b0ea840a84f3a12640438d0a4bd8b8f6df2b	platform	getMousePositionOrInvalid	Checks current process is frontmost through 0x269dd8; copies point from 0x27d178 or writes (-1,-1). Called by mouseManager::mouseCoords.
0x20f188	0x4c	c862867d2bab83028e051864455df35e6eeea8072e1f57cc4a69e8dab73a7b90	platform	getMousePositionOrInvalidDirect	Same foreground check and (-1,-1) fallback as 0x20f12c, passing output directly to 0x27d178. Called by the Mac event pump.
0x20f1d4	0x108	24779be0ee0708a131647eb4150b8a5df98000270107ce8bad86640253f878b9	platform	intersectRectangles	Computes intersection of two four-long rectangles into output; returns false on empty horizontal or vertical overlap. Corresponding Windows callers use IntersectRect.
0x20f8ec	0x20	12fa2a3b4630820df88019912cba05c142a21f04e7de2c501c15b80055f682d8	platform	shutdownMacGraphics	Wrapper calls 0x20ce04 then 0x20cd98; that unlocks the current surface with 0x275ff8 and invokes display teardown 0x20ccdc. Called by shutDown.
0x210474	0xf8	ee0ba716e0973db8b77b28561d04c7aacfa96a67f3707a399a5dcbd08bf9e9eb	platform	hostMacNetworkGame	Starts hosting through 0x27b090, copies local player name/id, pumps sound/events until completion, and reports the explicit host-game error string on failure.
0x210944	0xa0	f23197002d02f5e6629fd651f82131b4e24896ef9708dc840c86d6c06bcded00	platform	receiveQueuedMacNetworkMessages	Reads transport pending-size +0x8e0, allocates buffer, receives through 0x27b668, logs sender/size, processes immediate messages or queues them through CDPlayHeroes::queueMsg.
0x210f98	0x74	916ce8d40692a49a58ce38fbe899e8b32ca6443ba6d0ae5bf024e5fba832063a	platform	sendMacNetworkMessage	Logs Sent Message to %d [%d bytes], maps player ID zero to -1 broadcast, sends buffer and size +0xc through 0x27b63c and converts status to boolean.
0x21100c	0x7c	5b14e9b0c0d63792cd9b283bce7252799c1a44a212cc9cce8dd5e61e352af0f7	platform	queuePlayerDroppedMessage	Logs dropped player, constructs message type 0x3f6/size 0x18 with supplied player ID, then calls CDPlayHeroes::queueMsg. Windows receiveSaveGame constructs CDestroyPlayerMsg.
0x211164	0x8	d4e9e7520ef19698837e384bfe1708ac4b91fcf26b16ec098ec21c1e344ad3db	platform	destroyPlayerNoOp	Body is li r3,0; blr. Callers pass network player ID before handlePlayerDrop or destruction-message construction; corresponding Windows sites call g_dPlay->destroyPlayer. Mac stub semantics are explicit.
0x21116c	0x54	c9c30b5c3e9c7acaf5dcac1f1cc39c7e85ab3fa7ba84822422fab32a9ea4e661	platform	startMacSessionAndWait	Clears completion byte, invokes transport 0x27b2ac, then pumps pollSound and process1WindowsMessage until completion. Called by onBeginGame.
0x2111c0	0xf4	f56981c4fb8b155fd8a1c3d34c68c8e10a5e16f850e9de68518cbeb4162f6e0e	platform	enumerateMacSessionPlayers	Walks up to 16 transport player records, allocates name-plus-ID objects of size 0x104, copies names/IDs and passes each to the callback object. Used by updateCurrentPlayers and selection mode setup.
0x2137ec	0x150	a46358eddf3c0ac1532ec8146c2a633aaf7bf40834d7f0345ac39e9852d7c4a0	platform	initializeMacNetworkTransport	Allocates transport/session objects, selects AppleTalk or TCP setup using 3DO/HEROES3/1 and mnet identifiers, destroys failed transport and returns success.
0x21395c	0x44	85b504cbd4532f670f1ebd3ba828a3b42a35f671a19830d13bd7662d81defeef	platform	loadGameRangerLaunchState	Loads the GameRanger temporary launch record through 0x2a02b8, activates it via 0x2a0378, then tests host/guest state through 0x2a03d8. Called by oldmain.
0x2139a0	0x204	c7e23bdadbcf0bf97e34d2c76e201f7c5aa790f5626ad4be4621a769c9bc4572	platform	startGameRangerGame	Uses GameRanger host/guest flags and username/address getters; initializes remote state, then hosts or joins. Contains explicit GameRanger play-disc and host/guest log strings.
0x216408	0x1dc	8ccd979578beb0dd72ef1475d5ecd444357e8a8638c2fb99f8097212e8704850	library	netMessageDequePushBack	Checks deque length, allocates/grows pointer blocks, copies one message pointer into tail slot and increments size at +0x18. CDPlayHeroes::queueMsg passes its message pointer by reference.
0x2181a0	0x18c	699dc34d57a1af53fbca8cee2bb4f0698c6bb919dd026d614257d5508a8b364f	game_variant	serviceMacMusicFades	Every 100 ticks updates three 0x5c-byte music records, adds volume delta, clamps or stops/pauses streams through 0x27e240/0x27df70/0x27e198, then updates the manager playback flag. serviceSounds forwards here.
0x2186d8	0x11c	dcccb88a8cdb449a8d4315c4e9206363e1e796b4061e4591576cc6d151bfe9b3	platform	initializeMacSampleChannels	Initializes 13 channels of stride 0x3c via 0x276ebc; adds all to one pool and groups them into three category pools with 0x277688.
0x21b7dc	0x4cc	748635bc5ad008157765e2b7a8de5b0c353b8c8648e463786e61e25cf7376408	game_variant	joinAppleTalkDialog	Builds one text-entry connection dialog, invokes hostSession and 0x21056c join; failure string explicitly says Error initializing AppleTalk connection.
0x21bca8	0x678	de68c2c8cf6fbc5a7c4b935dddaf3e05eda03e7f14034ffe52b86b2ab658eae7	game_variant	joinTcpDialog	Builds the alternate two-text-entry connection dialog, invokes hostSession, then passes entered address and second field to 0x21056c. onJoin selects this versus the AppleTalk dialog.
0x25e1a8	0x54	4f80ad0da0a1ce79818173cfb41b3461304499113fff838c5603d7f063216383	platform	videoIndexedBufferDestructor	Deletes indexed pixel array at receiver+0 and optionally receiver. videoShutDown owns it; neighboring methods convert its palette and blit indexed pixels.
0x25e1fc	0x104	ef87da379b4706fee2ae885e7d987f94e74b97b9037e536aec74879aa184151e	platform	setVideoRgb555Palette	Converts 256 RGB triples to RGB555 halfwords at receiver+4, eight entries per loop. Called when Smacker palette changes.
0x25e300	0xa8	7a5ba29507e9034dace7d56b7ec99a6efe062c3219653f694c2f01b24e8c97ca	platform	blitIndexedVideoRectangle	Rejects zero width/height, obtains surface pixels and pitch, offsets source/destination by x/y and calls 0x25e3a8 with the RGB555 palette at receiver+4.
0x268e24	0x12c	418abb2eca05c4e91e20270de0518605dd1fc61cab5e0fc195d2b59bbc7435b9	platform	dispatchMacEventQueue	Dequeues up to requested entries from a 256-slot ring of 0x18-byte records, dispatches to registered handlers, then runs idle callbacks at 0x269a70.
0x269918	0x50	aee5f1f9c3f1f094907a36b5e2cc12bde00bf94aaf77e83db382025649b9d671	platform	constructIdleCallbackRegistration	Constructs a list node owned by global+0x1828, installs vtable and stores supplied callback at +0x14. soundManager::open supplies the sound service callback.
0x2699d0	0x48	4bd9f82ff342719806ccc94ec51149f27412cb42a96c71caee415539e74d3d09	platform	registerIdleCallback	Checks linked state via 0x269a60 and adds callback node through linked-list insertion at 0x26a8fc; returns 2 when already registered.
0x269a18	0x48	75861c392058815f65cb3cf03523bd7d13edd9bd36eefac9a4d7ef00765a32fe	platform	unregisterIdleCallback	Checks linked state then removes callback node through 0x26a974; returns 2 when absent. soundManager::close invokes it.
0x269a70	0x50	e5c6e3e93dd7516f3f0d506c0a4a82c483882373ffeb2821cd1623b241e6dbb5	platform	runIdleCallbacks	Walks list at application global+0x1828, invokes each callback at node+0x14 through pointer glue and advances through 0x269a68.
0x269c5c	0xa4	0ef606416022d6bb61b738a1ee90ef9376740fde6da051c641489d7373b47013	platform	enqueueMacEvent	Writes receiver and four arguments into a 256-entry ring, advances write index modulo 256 and updates free/pending counts; handles special receiver -2 via registered handler head.
0x269dd8	0x7c	02c3f501fdb830dd0a063ed25a75057ba44cf9cbc234c82a15564ed8721526da	platform	isCurrentProcessFrontmost	Calls imported GetFrontProcess, GetCurrentProcess and SameProcess; returns the process-equality boolean.
0x26a5bc	0x16c	49da89d65a8633d976ac0ea510e0c2d1905c503ab82b68e60113a757e0ff2103	platform	requestFinderQuit	Enumerates processes, finds signature MACS/type FNDR and sends aevt/quit via AECreateAppleEvent and AESend.
0x26ac7c	0x1c	7741d9a47707f896f6b2490b6f9821809abb95ed30622517779b6df9a8e5354f	platform	getHandleBufferData	Loads handle at +4, returns *handle or null. getBitmap816/loadBitmap16 construct and allocate the same handle buffer through already identified 0x26aab0/0x26ab14 before invoking this accessor.
0x26afe8	0x30	a2c91da37cf66d08274196269a75c0eaac4cf149c5c936cd445a736eac776c61	shared_candidate	copyLowercaseAscii	Copies source r4 to destination r3 including terminator, folding A..Z by +32. Quest descriptions and startMP3 call it; Windows uses lowercase string operations.
0x26b018	0x30	944187f9ef30461ea3a7d3e2c3abe19635cf55db10c02e495e21fbbe4fb6017a	shared_candidate	stringsEqual	Compares bytes through the terminator and returns bool 0/1, unlike strcmp ordering. Used by cache lookup and MP3 name checks.
0x26c51c	0xe4	4cefac44f0be301e525d2610cc99c6afb08cdda172589c2b8fb647402213cbb8	platform	isOpenTransportProtocolAvailable	Gestalt otan/otvr checks require Open Transport version >=0x01110000, then test tcp or atlk availability bits. Multiplayer UI queries both protocols.
0x26c638	0x138	d3a34401b1ec74d2af3633defbd39db04d275eb9e6e5a438dee1c2afe94c534f	platform	getOpenTransportIpAddresses	Calls OTInetGetInterfaceInfo, OTInetHostToString and optionally OTInetGetSecondaryAddresses; populates textual addresses. getIPAddress wraps it.
0x26e908	0xc	1d07a0cbd27fe409ee017931a201fc6bef604d6d87e290224325623dc3c60def	platform	constructSurfaceBlitContext	Sets context source pointer at +0 to null; companion methods at 0x26e968/0x26ea24 lock and release two surfaces.
0x26e914	0x54	2d2d952be5785dfc40ebe220e3ab1ac14e552226de6fcb706c9545924fcd480a	platform	destroySurfaceBlitContext	Calls context unlock at 0x26ea24 and conditionally operator delete based on destructor flag.
0x26e968	0xbc	42d37a3940299596f2002505b17dba3534e441d2ad1c0d75b1e6dd7871683520	platform	lockSurfaceBlitContext	Locks both surfaces, records pixels/pitches at +8/+0xc and +0x10/+0x14, and optional mask pixels/pitch at +0x18/+0x1c.
0x26ea24	0x4c	d9e355c39b0d5b2737ad5f903ae61c8785f30fd566fd87f08a84b217d7f0d1f1	platform	unlockSurfaceBlitContext	If source pointer is nonnull, unlocks both surfaces with 0x275ff8 and clears context source pointer.
0x26ea70	0x1ac	14bad9a65069014dd7a06c93c2048f71c9ae61e6242633866604bfe1b5602fc8	platform	blitSurfaceContextRectangle	Clips destination rectangle, adjusts source for flip flags, computes pixel offsets, selects optional mask, and calls a blitter from flag-indexed dispatch table.
0x275b60	0x68	d9629a6c99ab43c9d56e4da61bbd5dbe8ade3405d3759c040d85e4d549bebe76	platform	constructRgb555BlendColor	Stores RGB bytes and packed RGB555, then precomputes packed channel multiples 1,3,5,7 used by blending/fill. Called for cursor and fade colors.
0x275bcc	0x10	fe6b36637dd52163482acaa7db79f0bab04b371f6a4b8f97cc74e40046035184	platform	packRgb555	Three rotate/mask instructions combine high five bits of red/green/blue into RGB555, then return. mouseManager::open uses the result as a color.
0x275fa0	0x58	8a78737ca9d2c9dadf8fe1850b1607c75e817bafa6922d7cb8745634b1d839ff	platform	lockSurfacePixels	At first lock obtains GWorld pixmap and calls LockPixels; increments lock count at +4.
0x275ff8	0x6c	9ab5722c93008a2e588cd97378b3cddf49c3a0008c213f76c6fcba431e7fe98d	platform	unlockSurfacePixels	Decrements lock count; at zero calls GetGWorldPixMap/UnlockPixels and clamps negative count to zero.
0x276064	0x8	59fdcae5f48fe0f3f53325d0a334381138490d2632049b646d44c2cb75668e68	platform	getSurfaceWidth	Returns receiver+8. NewGWorld constructor at 0x275c80 stores its width argument at +8 and height at +0xc.
0x27606c	0x8	5d9a1b452d6935a19a897fdbed86c41fbed9fe502cda3ec46eb9648aa3405b9a	platform	getSurfaceHeight	Returns receiver+0xc; constructor at 0x275c80 stores height there and uses it for GWorld bounds and buffer size.
0x276074	0x60	a06c051e685dac533954c276af9185dbd0f8ad972680d876bf7b83f2b07579ee	platform	getLockedSurfacePixels	Requires nonzero lock count, calls GetGWorldPixMap/GetPixBaseAddr, stores pixels through output pointer; returns error 2 and null if unlocked.
0x2760d4	0x8	ac8e08b00ae6350b4bbb96ebefd3b946d9a50ff1413ddda44d3ae057981e47dd	platform	getSurfacePitch	Returns receiver+0x24; NewGWorld setup stores masked pixmap rowBytes there at 0x275d2c.
0x2760dc	0x74	530d13f81b5fb59f31972fb4ea7144f998c4540f3ed26cc507d5087d14154ceb	platform	fillSurfaceColor	Locks surface, obtains pixels, fills receiver+0x28 halfwords with the packed color using 0x26ac98, then unlocks.
0x2763d8	0x28	1aaa2aee0705a6337a70032f60ebe978f22f6a254543971f8746941f7c92119f	platform	playSystemBeep	Calls imported SysBeep with duration 0x45; used on failed GameRanger launch.
0x276400	0x10	795c186d6dea2619cf5a24ccbafeda1ebe4adefcd6c7d0042d22bc7e51f4736f	platform	constructMacSoundData	Clears reference count and sound-data pointer at +0/+4; sample constructor invokes it before loading stream data.
0x276410	0x54	d4f00246e34ce10c67a81d4cb9ccc7a3a9545e0de2d7c775faa1ef73622fa204	platform	destroyMacSoundData	Calls 0x276cc0 release, then conditionally deletes receiver according to destructor flag.
0x276464	0x178	08ad0b17c0b67ef690aa1016f5a66f2770cebb1dfb0000e8c0465304912d862e	platform	loadMacSoundData	Reads stream signature through virtual read/seek; dispatches proprietary sound, RIFF/WAVE, FORM/AIFF and FORM/AIFC loaders into receiver+4/+8.
0x276cc0	0xa0	f99da4e8424545ed8cd4e4a2c4e6aa3e861f1c7d50e18a38631e028f24a6e260	platform	releaseMacSoundData	Stops all channels referencing this sample, drains its reference count through 0x276db0, deletes the byte array at +4 and clears it.
0x276fac	0x64	7a3a4033acd24df26d52e4130e7acdacc15d6aa4be210e623ce0e08037351e9b	platform	closeMacSoundChannel	Stops sample, calls SndDisposeChannel, clears channel handle +0x14 and unlinks channel from registry.
0x277010	0x12c	1c13cb77fb182e42a37c27ce27a3ec81680f48235ead7b95e1898c936b482a39	platform	playMacSoundSample	Initializes playback, issues SndDoImmediate/SndDoCommand using sample data, advances play-generation ID at +0x28 and sets playing flag at +0x18.
0x27713c	0x120	451ba63ad3f3d4a1e09e2037a31d33ad2e4ee95cdc2f1b3c972d53725ff4427b	platform	stopMacSoundSample	Checks playing flag, sends Sound Manager flush/quiet/callback commands, clears play flags and releases sample reference; behavior depends on requested stop mode.
0x27725c	0x28	e2da56a2f07ea87a0a66a591848d065c472355503d904a7ba8502bcfcd7fe2f5	platform	isMacSoundGenerationPlaying	Returns true iff playing flag +0x18 is set and caller generation equals channel generation +0x28.
0x277284	0x38	9d50496100131fb5414d96f3888134f3ea6a9b108e30ea24038ff9a0c95e42ab	platform	setMacSoundChannelVolume	Stores float volume at +0x2c, loads pan +0x30 and calls 0x277538 with the Sound Manager channel handle.
0x2776d4	0x70	eb8d43a901d1b7624defd90fbf14845767321b2f255bf4e430d30f9e1b8ac811	platform	acquireMacSoundChannel	Scans pool for initialized idle channel; optionally returns channel with oldest generation when no idle channel exists.
0x277744	0x78	8f2017d32e22f835773cab45b3f30bff6add595f8129ee331da8eb620f6531ed	platform	findMacSoundChannelByGeneration	Scans pool and calls 0x27725c to return the channel matching a live play-generation ID, otherwise null.
0x2777bc	0x5c	51a7eeb49eb9556363e73467d226bddfc824e90cff72608d9c2d0029437ae66d	platform	stopMacSoundChannelPool	Walks pool entries and calls 0x27713c with immediate stop mode for every nonnull channel.
0x277d5c	0x74	5ad6c473001eb9b80721d33c2506f5459230e0a5b8ad1bf283fe60a4c8bc5288	platform	initializeFileFromFSSpec	Copies 0x46 bytes from supplied FSSpec into receiver+8, clears open/dirty state and marks file object initialized.
0x277e8c	0x84	7c2a38b2b61b8270d0c99410da47906cdcc016f31fb71b2e4e58ab4aff9bb954	platform	closeFileFork	If open, calls FSClose, clears open count and FlushVol when dirty. Used by save-game and preference file paths.
0x277f78	0x7c	fcd30830b03a9c885195a8dd7cf11c9f1a9a140b5adca8dc96f4b1d9d06657a9	platform	writeFileFork	Calls FSWrite with requested byte count, translates errors, marks dirty and reports short write as error 0x14.
0x277ff4	0x74	aa823bca11371b1e0b74fb0099cbc8fcbc037123114ecb7bf4bc9d94e98101d7	platform	seekFileFork	Maps seek origin 0/1/2 to Mac position modes 1/2/3 and invokes SetFPos on file reference at +2.
0x278068	0x40	19a983ebd1a16f20f1e0a6a51ade46ab6076a2e58effdedb758a39e84d76c7c9	platform	getFileForkLength	Invokes GetEOF using file reference at +2 and returns length, or zero on error.
0x2780a8	0x58	39d8daaf4b095c0af2e7c5fb696bb6361d31b21e32b7ba192782496693d1a251	platform	deleteFileByFSSpec	Closes open fork via 0x277e8c, invokes FSpDelete on receiver+8 and resets file adapter through 0x277dd0.
0x278100	0x2c	b2dbe8cd281b0ee8a954a568e7935aa1deded729963120b82f5d20921343f80d	platform	copyFileFSSpec	BlockMoveData copies 0x46 bytes from receiver+8 to caller output. setupCDDrive and stream creation use it.
0x27812c	0xc0	01f407bd57c77d7b921ba2a6446348fc2e4e97bd2e290159ad4e788bb1bc65ee	platform	getFileModificationDate	PBHGetFInfoSync obtains modification timestamp, SecondsToDate converts it, then copies seven date/time shorts into output.
0x2782ec	0xc	721adca8e38fcdd336bf5a7e2ccabca9e5fa5cfa3e8306e6071ae43f0f252fe2	platform	constructDirectoryHandle	Clears initialized byte; preference paths construct this object before FindFolder or directory open.
0x2782f8	0x54	03ab544051ce1047c06ee5203db66bc28dee43e5fae2f1b2d4b3ab27a791012a	platform	destroyDirectoryHandle	Calls directory close 0x278584 and conditionally deletes receiver using destructor flag.
0x27834c	0x144	b35c020a14eb943648c3132cca0dee49dba70d7883028d05ed84df927fcb548a	platform	openOrCreateDirectory	Builds FSSpec for supplied directory, resolves aliases, creates missing directory with FSpDirCreate, closes prior state and adopts volume/directory IDs.
0x2784f8	0x8c	1ff03b849e596d0673ebce3ed5159c792336e34696465b78b20f3e51c800f694	platform	findSystemFolder	Calls FindFolder on system disk with caller folder type/create flag; stores volume/directory IDs at +2/+4 and marks initialized.
0x278594	0xa4	6011b8da3554100224e75f53c31a2749e1561f462ca697f5b8f2469634047138	platform	getDirectoryName	Calls PBGetCatInfoSync with directory index -1, then converts Pascal name through 0x26b210; returns empty output on error.
0x2786a8	0xc	721adca8e38fcdd336bf5a7e2ccabca9e5fa5cfa3e8306e6071ae43f0f252fe2	platform	constructDirectoryEnumerator	Clears initialized byte; loadCampaignList/getHeaders/getRandomMapName construct this before enumeration.
0x2786b4	0x54	aec225c271e9bb6fb845d1d5f3e31dd9affc74a1940e2d25b7da82571da99f20	platform	destroyDirectoryEnumerator	Calls enumeration close at 0x278758 then conditionally deletes receiver.
0x278708	0x50	5f611408f5866a57527a4cd40d01ebfcaee0255829eacd90dd4c4ff319e40a18	platform	beginDirectoryEnumeration	Sets catalog index 1, stores directory pointer at +0x44, copies search mask at +4 and sets active byte.
0x278758	0x10	37a40170153b18d829ff7ca99cc9c342c2447855ad700265d58740e1850c716b	platform	endDirectoryEnumeration	Clears active byte and returns zero. Called after file-search loops and by the enumerator destructor.
0x278768	0x158	3f4f25d2be2c1b9b53651cc23a4c8ecd969442658ef71283c9a8763dd0e47a43	platform	nextDirectoryEntry	Calls PBGetCatInfoSync with advancing index, converts Pascal name, filters through 0x26b048, returns FSSpec and file/folder metadata.
0x2788e4	0x14	a7dbace3505b6fe0fb72aeb09e8f59ee163a6d61ac4d1c43b7190de8cd14a234	platform	constructFileSliceStream	Installs stream vtable and clears open flag at +4. loadSample uses this stack stream.
0x2788f8	0x68	b30b114ff74fc9b06124342ec849789d22aace7526e75a068219726f8d866282	platform	destroyFileSliceStream	Restores stream vtable, invokes close slot through pointer glue, and conditionally deletes receiver.
0x2789b4	0x10c	1579e3842f2c5cae7a311ddc635f5b890b333be87e34806f35745e652bc7fe99	platform	openFileSliceStream	Copies source FSSpec, opens embedded file adapter at +0x14, validates offset/length against EOF, seeks to slice start and records length/position/base offset.
0x278ac0	0x48	fb10285e0f6d22907f55ee2dd9bb3a41748b3a1b3825e738a3a6e0f0ccdf6019	platform	closeFileSliceStream	When open flag +4 is set, closes embedded file adapter at +0x14 and clears the flag.
0x27ac4c	0x54	56fd270165d078a200415ad089ed82a3af90f008e9e8e28274f47968bf42ae02	platform	destroyMacNetworkTransport	Calls transport shutdown at 0x27afb4 then conditionally operator delete. remoteCleanup passes destructor flag 1.
0x27cf80	0x13c	2200314b99e6beac058d52ca7a8fbeb7545dcdc85244e52a444cae806ad3ebcc	platform	changeMacDisplayMode	Transitions between modes 0/1/2 using paired leave/enter routines, broadcasts before/after notifications and records selected mode at global+0x14.
0x27d0bc	0xc	56e1053d6577c6a5e441a038c4bb17ba09aaff8bee84750d884bf89ff0366cf8	platform	getMacDisplayMode	Returns mode at display global+0x14, the value changed by 0x27cf80. Mouse/fade code branches on it.
0x27d128	0x50	e9588b536738fb05ac62e9375078e6ec3b579ff19e1ba07d9fe813356c3f4ae8	platform	copyScreenRectangleToBackSurface	Builds point/rect from arguments, loads global back surface at +0x18 and calls 0x27d384 screen-to-surface copy.
0x27d178	0x13c	bf0c0091f85f65fe1fb826022017a885e33c0538ea380bb646f3d3ac31de68b6	platform	getMacMouseCoordinates	Uses DSpGetMouse and DSpContext_GlobalToLocal in fullscreen, or GetMouse/FindWindow/GlobalToLocal in windowed mode; returns long x/y point.
0x27d2b4	0xd0	bc0c0f7ea5d7ac8b59c47b9d3958855e10508af95898ae8a921b4326cd57eb97	platform	localToGlobalMacDisplayPoint	Converts caller point through DSpContext_LocalToGlobal or temporary window port plus LocalToGlobal, according to display mode.
0x27d384	0x194	0b0a4537615cffbb459a9422c950e1594cc16768183717567eb8565fa2fb7644	platform	copyScreenToSurface	Selects fullscreen front buffer or window port, locks destination surface, calls CopyBits from screen to its pixmap, unlocks and restores port/device.
0x27d518	0x190	ea146ec2c9426d213001ab97d7df6322a5095e6e4a7effe76dabbf56d71964d4	platform	copySurfaceToScreen	Selects front buffer/window destination, locks source surface, calls CopyBits from its pixmap to display, unlocks and restores port/device.
0x27da20	0x80	c476b3772d1920689b117b991bf2a90ba40904975c908e20c0ec476956fc6ab3	platform	fadeMacDisplayGamma	Requires fullscreen mode, stores supplied RGB fade color, calls DSpContext_FadeGamma and stores fade amount at display global+0x1fc.
0x27df70	0x80	83bf35f9bc015d2d992bf8dc335f96e68c94cd9cedadfb6054d295942b68451a	platform	closeMacMusicStream	Stops stream through virtual callback, disposes sound channel, closes file reference and unlinks stream registration. Called on music fade completion and sound shutdown.
0x297458	0x31c	d1c1324cdd0f944dc2ba8baad63676fd564c5b069ad43d81f49111bce6a1c8e6	library	SmackToBuffer	Seven-argument destination-buffer setup, null-buffer cleanup and Smack fields/flags; matches retained source SmackToBuffer calls in videoRealignBuffers/showVideo. Returns at 0x297770.
0x297bb0	0x188	b63015aabd21943d40bb1dcfde11c65ff9f7d8e38870e154ad6093c242090d0b	library	SmackToBufferRect	Consumes decoder dirty-rectangle list and copies four-word rectangle to Smack public fields, returning whether another rectangle exists; videoDrawRects loops on this API.
0x2a044c	0xf0	c559081fc2f305a473dc1917d7cefe1da7169e99f121010f81dc53372f58c093	platform	notifyGameRangerReady	Builds AppleEvent class GRgr/id Redy, sends it and sets ready flag. Called when selection dialog becomes ready.
0x2a0644	0x16c	b38cafee36e2c0f191902d2e891a12bc6d3d13176bc61cfe3fce5ed697417b97	platform	notifyGameRangerGameEnded	Builds GRgr/GEnd event with elapsed GTim, Scor and AScr parameters, sends it and disposes descriptors during remote cleanup.
0x2a07b0	0xe8	fad470b8e60832f1501409b536572073db21fa269d8381c5bd584fef50b6f36d	platform	notifyGameRangerHostClosed	Builds GRgr/HCls event after host-state check, sends it and disposes descriptors during remote cleanup.
0x2a092c	0x2a8	ff8000d0cb5fb6934b6b0556953d0a70fd196218e64f9fcff7e86afce7d38e1c	platform	findGameRangerApplication	Searches running processes and desktop application database for creator GRgr/type APPL, caching application location and availability for multiplayer UI.
0x2a0bd4	0x3e0	bbb00bfa23fe8b73058cd4aa64e130456cc8920b4bcf0e1e25df4810789a3959	platform	activateOrLaunchGameRanger	Finds GRgr process and SetFrontProcess, otherwise searches desktop database and LaunchApplication; pumps WaitNextEvent around activation.
