# MANUALLY MANAGED - INITIALLY GENERATED by `homm3 mac migrate` from the
# reviewed config/mac inventories and hand-owned after admission.
# Loader-proven CFM import glue (homm3.mac.glue): lwz r12 from a TOC
# cell relocated to an imported transition vector, then the fixed
# five-instruction jump. 24-byte stubs; not game functions.
# exe: Heroes PEF sha256=650be8880cfda81ffa7704ce3bcdb9c5a6528f67afdf77c0c0c63e8259250d86 size=3418835
# Offsets are relative to PEF code section 0; lowercase 0x hex.
offset	name	library
0x2a1ca0	.Gestalt	InterfaceLib
0x2a1cb8	.AEGetAttributePtr	InterfaceLib
0x2a1cd0	.AEInstallEventHandler	InterfaceLib
0x2a1ce8	.AEGetParamDesc	InterfaceLib
0x2a1d00	.GetWTitle	InterfaceLib
0x2a1d18	.SetCursor	InterfaceLib
0x2a1d30	.LMGetMBarHeight	InterfaceLib
0x2a1d48	.OffsetRect	InterfaceLib
0x2a1d60	.NewWindow	InterfaceLib
0x2a1d78	.TextFont	InterfaceLib
0x2a1d90	.TextSize	InterfaceLib
0x2a1da8	.TextFace	InterfaceLib
0x2a1dc0	.SetRect	InterfaceLib
0x2a1dd8	.TETextBox	InterfaceLib
0x2a1df0	.GetIcon	InterfaceLib
0x2a1e08	.PlotIcon	InterfaceLib
0x2a1e20	.NewControl	InterfaceLib
0x2a1e38	.PenNormal	InterfaceLib
0x2a1e50	.PenSize	InterfaceLib
0x2a1e68	.FrameRoundRect	InterfaceLib
0x2a1e80	.GetCaretTime	InterfaceLib
0x2a1e98	.WaitNextEvent	InterfaceLib
0x2a1eb0	.GetNextEvent	InterfaceLib
0x2a1ec8	.FindControl	InterfaceLib
0x2a1ee0	.TrackControl	InterfaceLib
0x2a1ef8	.HiliteControl	InterfaceLib
0x2a1f10	.Delay	InterfaceLib
0x2a1f28	.DisposeControl	InterfaceLib
0x2a1f40	.DisposeWindow	InterfaceLib
0x2a1f58	.PBHOpenDFSync	InterfaceLib
0x2a1f70	.PBWriteSync	InterfaceLib
0x2a1f88	.PBSetEOFSync	InterfaceLib
0x2a1fa0	.PBCloseSync	InterfaceLib
0x2a1fb8	.StandardPutFile	InterfaceLib
0x2a1fd0	.LMGetCurDirStore	InterfaceLib
0x2a1fe8	.PBHCreateSync	InterfaceLib
0x2a2000	.GetDateTime	InterfaceLib
0x2a2018	.PBHSetFInfoSync	InterfaceLib
0x2a2030	.SetWTitle	InterfaceLib
0x2a2048	.KillControls	InterfaceLib
0x2a2060	.TEDispose	InterfaceLib
0x2a2078	.GetFontInfo	InterfaceLib
0x2a2090	.CharWidth	InterfaceLib
0x2a20a8	.MoveWindow	InterfaceLib
0x2a20c0	.SizeWindow	InterfaceLib
0x2a20d8	.ShowWindow	InterfaceLib
0x2a20f0	.InsetRect	InterfaceLib
0x2a2108	.TENew	InterfaceLib
0x2a2120	.TEAutoView	InterfaceLib
0x2a2138	.BeginUpdate	InterfaceLib
0x2a2150	.EraseRect	InterfaceLib
0x2a2168	.DrawControls	InterfaceLib
0x2a2180	.ClipRect	InterfaceLib
0x2a2198	.DrawGrowIcon	InterfaceLib
0x2a21b0	.MoveTo	InterfaceLib
0x2a21c8	.Line	InterfaceLib
0x2a21e0	.DrawText	InterfaceLib
0x2a21f8	.TEUpdate	InterfaceLib
0x2a2210	.EndUpdate	InterfaceLib
0x2a2228	.GetCursor	InterfaceLib
0x2a2240	.TEActivate	InterfaceLib
0x2a2258	.SetControlMaximum	InterfaceLib
0x2a2270	.SetControlValue	InterfaceLib
0x2a2288	.SystemTask	InterfaceLib
0x2a22a0	.FrontWindow	InterfaceLib
0x2a22b8	.PtInRect	InterfaceLib
0x2a22d0	.TEIdle	InterfaceLib
0x2a22e8	.DisableItem	InterfaceLib
0x2a2300	.EnableItem	InterfaceLib
0x2a2318	.MenuSelect	InterfaceLib
0x2a2330	.RGBForeColor	InterfaceLib
0x2a2348	.GetMenuItemText	InterfaceLib
0x2a2360	.OpenDeskAcc	InterfaceLib
0x2a2378	.PrOpen	InterfaceLib
0x2a2390	.PrError	InterfaceLib
0x2a23a8	.PrintDefault	InterfaceLib
0x2a23c0	.PrClose	InterfaceLib
0x2a23d8	.PrStlDialog	InterfaceLib
0x2a23f0	.PrJobDialog	InterfaceLib
0x2a2408	.PrOpenDoc	InterfaceLib
0x2a2420	.PrOpenPage	InterfaceLib
0x2a2438	.DrawString	InterfaceLib
0x2a2450	.StringWidth	InterfaceLib
0x2a2468	.PrClosePage	InterfaceLib
0x2a2480	.PrCloseDoc	InterfaceLib
0x2a2498	.PrPicFile	InterfaceLib
0x2a24b0	.TECut	InterfaceLib
0x2a24c8	.TEScrapHandle	InterfaceLib
0x2a24e0	.ZeroScrap	InterfaceLib
0x2a24f8	.LMGetTEScrpLength	InterfaceLib
0x2a2510	.PutScrap	InterfaceLib
0x2a2528	.TECopy	InterfaceLib
0x2a2540	.GetScrap	InterfaceLib
0x2a2558	.TESetScrapLength	InterfaceLib
0x2a2570	.TEPaste	InterfaceLib
0x2a2588	.TEDelete	InterfaceLib
0x2a25a0	.TESetSelect	InterfaceLib
0x2a25b8	.HiliteMenu	InterfaceLib
0x2a25d0	.SystemClick	InterfaceLib
0x2a25e8	.SelectWindow	InterfaceLib
0x2a2600	.StillDown	InterfaceLib
0x2a2618	.WaitMouseUp	InterfaceLib
0x2a2630	.TEClick	InterfaceLib
0x2a2648	.GetControlValue	InterfaceLib
0x2a2660	.TEScroll	InterfaceLib
0x2a2678	.GetControlMaximum	InterfaceLib
0x2a2690	.DragWindow	InterfaceLib
0x2a26a8	.GrowWindow	InterfaceLib
0x2a26c0	.InvalRect	InterfaceLib
0x2a26d8	.TECalText	InterfaceLib
0x2a26f0	.MoveControl	InterfaceLib
0x2a2708	.SizeControl	InterfaceLib
0x2a2720	.ValidRect	InterfaceLib
0x2a2738	.MenuKey	InterfaceLib
0x2a2750	.GetControlMinimum	InterfaceLib
0x2a2768	.TEKey	InterfaceLib
0x2a2780	.ShowControl	InterfaceLib
0x2a2798	.TEDeactivate	InterfaceLib
0x2a27b0	.HideControl	InterfaceLib
0x2a27c8	.AEProcessAppleEvent	InterfaceLib
0x2a27e0	.DIBadMount	InterfaceLib
0x2a27f8	.MemError	InterfaceLib
0x2a2810	.TEInsert	InterfaceLib
0x2a2828	.PBGetEOFAsync	InterfaceLib
0x2a2840	.PBGetEOFSync	InterfaceLib
0x2a2858	.PBSetEOFAsync	InterfaceLib
0x2a2870	.PBSetFPosAsync	InterfaceLib
0x2a2888	.PBSetFPosSync	InterfaceLib
0x2a28a0	.PBReadAsync	InterfaceLib
0x2a28b8	.PBReadSync	InterfaceLib
0x2a28d0	.PBWriteAsync	InterfaceLib
0x2a28e8	.PBHDeleteSync	InterfaceLib
0x2a2900	.PBGetCatInfoSync	InterfaceLib
0x2a2918	.PBHGetVInfoSync	InterfaceLib
0x2a2930	.PBSetCatInfoSync	InterfaceLib
0x2a2948	.PBGetFCBInfoSync	InterfaceLib
0x2a2960	.FSpDelete	InterfaceLib
0x2a2978	.GetFPos	InterfaceLib
0x2a2990	.__fpclassifyf	MathLib
0x2a29a8	.atan2	MathLib
0x2a29c0	.BinkOpen	Bink Shared Library
0x2a29d8	.BinkGetError	Bink Shared Library
0x2a29f0	.BinkGoto	Bink Shared Library
0x2a2a08	.PBHGetFInfoSync	InterfaceLib
0x2a2a20	.SecondsToDate	InterfaceLib
0x2a2a38	.GetVInfo	InterfaceLib
0x2a2a50	.__isfinited	MathLib
0x2a2a68	.nan	MathLib
0x2a2a80	.dec2num	MathLib
0x2a2a98	.OTCreateConfiguration	OTClientUtilLib
0x2a2ab0	.OTOpenMapperPriv	OTClientLib
0x2a2ac8	.OTDeleteName	OTClientLib
0x2a2ae0	.OTCloseProviderPriv	OTClientLib
0x2a2af8	.OTSetSynchronous	OTClientLib
0x2a2b10	.OTUnbind	OTClientLib
0x2a2b28	.FSpDirCreate	InterfaceLib
0x2a2b40	.DisposeGWorld	InterfaceLib
0x2a2b58	.CountMItems	InterfaceLib
0x2a2b70	.GetMenuItemCommandID	AppearanceLib
0x2a2b88	.CheckItem	InterfaceLib
0x2a2ba0	.GetNextProcess	InterfaceLib
0x2a2bb8	.GetNewDialog	InterfaceLib
0x2a2bd0	.ModalDialog	InterfaceLib
0x2a2be8	.DisposeDialog	InterfaceLib
0x2a2c00	.SetEventMask	InterfaceLib
0x2a2c18	.OSEventAvail	InterfaceLib
0x2a2c30	.CheckUpdate	InterfaceLib
0x2a2c48	.RegisterAppearanceClient	AppearanceLib
0x2a2c60	.AECountItems	InterfaceLib
0x2a2c78	.AEGetNthPtr	InterfaceLib
0x2a2c90	.EnterMovies	QuickTimeLib
0x2a2ca8	.MenuEvent	AppearanceLib
0x2a2cc0	.GetMenuHandle	InterfaceLib
0x2a2cd8	.GetMenuItemRefCon	AppearanceLib
0x2a2cf0	.DeleteMenu	InterfaceLib
0x2a2d08	.DisposeMenu	InterfaceLib
0x2a2d20	.DrawMenuBar	InterfaceLib
0x2a2d38	.GetMenu	InterfaceLib
0x2a2d50	.SetMenuItemCommandID	AppearanceLib
0x2a2d68	.SetMenuItemRefCon	AppearanceLib
0x2a2d80	.SetMenuItemText	InterfaceLib
0x2a2d98	.SetItemCmd	InterfaceLib
0x2a2db0	.NewGWorld	InterfaceLib
0x2a2dc8	.GetGWorld	InterfaceLib
0x2a2de0	.SetGWorld	InterfaceLib
0x2a2df8	.RGBBackColor	InterfaceLib
0x2a2e10	.SystemEvent	InterfaceLib
0x2a2e28	.GetGrayRgn	InterfaceLib
0x2a2e40	.NewRgn	InterfaceLib
0x2a2e58	.GetWindowRegion	AppearanceLib
0x2a2e70	.DisposeRgn	InterfaceLib
0x2a2e88	.ShowCursor	InterfaceLib
0x2a2ea0	.DSpProcessEvent	DrawSprocketLib
0x2a2eb8	.OTInetStringToHost	OTInetClientLib
0x2a2ed0	.OTExitPatchPriv	OTClientUtilLib
0x2a2ee8	.InitOpenTransportPriv	OTClientUtilLib
0x2a2f00	.OTSndDisconnect	OTClientLib
0x2a2f18	.OTDestroyConfiguration	OTClientUtilLib
0x2a2f30	.CloseOpenTransportPriv	OTClientUtilLib
0x2a2f48	.OTSetBlocking	OTClientLib
0x2a2f60	.OTOptionManagement	OTClientLib
0x2a2f78	.OTInitInetAddress	OTInetClientLib
0x2a2f90	.OTInitNBPAddress	OTATalkSharedLib
0x2a2fa8	.OTBind	OTClientLib
0x2a2fc0	.OTListen	OTClientLib
0x2a2fd8	.OTLook	OTClientLib
0x2a2ff0	.OTRcvDisconnect	OTClientLib
0x2a3008	.OTCloneConfiguration	OTClientUtilLib
0x2a3020	.OTAsyncOpenEndpointPriv	OTClientLib
0x2a3038	.OTGetProtAddress	OTClientLib
0x2a3050	.OTInetHostToString	OTInetClientLib
0x2a3068	.OTRcv	OTClientLib
0x2a3080	.OTReleaseBuffer	OTUtilityLib
0x2a3098	.OTRcvConnect	OTClientLib
0x2a30b0	.OTRcvOrderlyDisconnect	OTClientLib
0x2a30c8	.OTCountDataBytes	OTClientLib
0x2a30e0	.OTOpenEndpointPriv	OTClientLib
0x2a30f8	.OTInstallNotifier	OTClientLib
0x2a3110	.OTSetAsynchronous	OTClientLib
0x2a3128	.OTAckSends	OTClientLib
0x2a3140	.OTConnect	OTClientLib
0x2a3158	.OTInitDDPAddress	OTATalkSharedLib
0x2a3170	.OTAccept	OTClientLib
0x2a3188	.OTInetGetInterfaceInfo	OTInetClientLib
0x2a31a0	.OTInetGetSecondaryAddresses	OTInetClientLib
0x2a31b8	.SetFrontProcess	InterfaceLib
0x2a31d0	.PBHGetVolParmsSync	InterfaceLib
0x2a31e8	.PBDTGetPath	InterfaceLib
0x2a3200	.PBDTGetAPPLSync	InterfaceLib
0x2a3218	.PBGetVInfoSync	InterfaceLib
0x2a3230	.LaunchApplication	InterfaceLib
0x2a3248	.MoviesTask	QuickTimeLib
0x2a3260	.SndStartFilePlay	InterfaceLib
0x2a3278	.SetMovieTimeValue	QuickTimeLib
0x2a3290	.CallMeWhen	QuickTimeLib
0x2a32a8	.ParseAIFFHeader	SoundLib
0x2a32c0	.SndStopFilePlay	InterfaceLib
